-1.468614	0.954653	0.753653	-3.124498	-1.868650	0.683115	-2.405952	-1.998129	1.503301	-0.090051	-0.753338	1.951924	-3.300376	-0.580319	-2.140107	-0.169963	-1.184485	1.682094	-2.796313	-0.872326	-1.486516	-0.803421	-1.024257	3.307081	-0.759606	0.846030	1.868104	-1.405127	-1.146561	1.590724	1.780265	1.195619	-0.528692	-3.695200	1.519445	-1.739793	0.743240	-3.314921	0.613042	-0.747829	-1.295472	-4.024435	2.523783	0.024359	-2.792573	0.103361	-0.566242	1.730621	0.774187	0.310740	0.285400	2.783855	-2.230887	-3.198833	4.104224	-0.294328	-0.677146	-1.491143	-2.168478	-2.909956	-0.141286	0.809959	-2.682031	2.616283	1.006118	-0.338859	-2.036244	3.377271	-0.781829	-0.055553	-0.857828	-1.772992	1.462834	0.265829	1.219844	-0.299176	2.160951	0.905620	1.665261	3.778721	0.248012	-3.225346	-1.783118	2.023736	-2.326798	2.239203	0.586562	-2.266347	-1.542001	-0.363934	1.511316	2.460603	2.017969	4.658064	2.833053	-2.199756	-2.036768	-0.612302	-2.333949	1.138304	-1.272524	3.181587	-1.786071	0.889845	-0.277869	1.034317	-0.472336	-1.376735	-1.464759	2.429412	-1.754946	0.731661	1.661984	5.581154	1.167175	-1.329963	3.318059	1.514027	-2.800464	0.282371	2.404005	4.112977	-0.598080	-0.762913	3.112166	2.646259	1.496909	-0.698251
-0.142192	-1.822169	0.795589	1.557326	-1.186923	2.340088	-0.872756	-0.933217	-0.626406	1.000232	0.602177	2.043896	-2.086084	-0.108616	-1.293605	-1.158976	-0.925361	-1.276797	1.506268	-0.561777	0.010523	0.185797	-0.778403	-1.503750	-1.151047	-1.032623	-0.618929	-1.154592	-0.131542	0.813436	0.086960	0.375920	0.281632	0.208209	-0.632369	0.092876	-1.062357	0.247181	0.533557	0.135465	0.264121	1.230961	-2.108344	-0.174536	0.545415	-0.571139	1.058689	0.170516	-1.253626	-0.045717	0.679364	0.143755	0.121762	0.869301	-2.224035	1.421955	0.409530	0.286892	0.526002	1.521292	0.612287	-0.705886	0.899340	-1.020930	-1.270225	-2.014919	3.206074	-1.896854	-1.844758	0.940053	0.999362	0.362463	-0.004050	0.100868	-0.401544	-0.310235	2.338282	0.409616	0.302419	-1.641200	-0.695320	1.485840	1.965499	-0.007315	1.884376	0.368637	0.413700	1.742246	0.603227	1.544969	-0.772433	-1.397224	0.300993	-2.290869	-0.173337	-0.431604	0.803469	-0.325145	0.106046	-0.108276	-1.071514	-1.363491	-0.599696	0.432598	1.035400	-0.046802	0.773230	-0.802630	0.362928	-1.781475	0.316508	-0.821534	-0.004856	-0.412088	-1.162038	0.994893	-1.242761	0.518607	-0.007745	-1.902536	-0.027168	-1.466273	1.168371	-0.606996	-2.920593	-0.425710	0.350874	-0.689916
0.145603	-0.934779	0.105392	0.790868	-0.415335	1.011450	-0.463894	-0.562475	-0.571681	0.436052	0.149173	1.094350	-1.744660	-0.021919	-0.841683	-0.744000	-0.449214	-0.856038	0.885394	-0.507608	0.018113	0.244825	-0.757930	-0.619208	-0.011905	-0.441493	0.585774	-0.825109	0.177628	0.228025	0.120804	0.029890	0.260619	0.062973	-0.111611	-0.834439	-0.393420	-0.257885	-0.185289	0.595166	0.302698	1.043121	-1.133926	-0.205721	0.134124	-0.278480	0.067187	0.503352	-0.031555	-0.187929	0.040689	-0.105363	-0.013591	0.214666	-1.080545	0.569222	0.542148	0.384136	-0.031823	1.277096	0.536361	0.116795	0.590316	-0.575271	-0.528340	-1.502668	1.973928	-0.378223	-0.684059	0.148829	0.188436	0.100820	0.240171	-0.300060	0.127618	-0.008336	1.740981	-0.169450	-0.115755	-0.477146	-0.399834	0.300055	1.634698	-0.385201	1.125505	-0.353165	0.083959	0.861399	0.216555	0.751930	-0.152964	-0.655365	-0.059173	-1.132165	0.263271	-0.867892	0.697294	-0.764369	0.157746	-0.091734	-1.097569	-1.128513	-0.322305	0.139672	0.321643	-0.748063	-0.050837	-0.050761	0.512929	-0.798879	-0.069168	-0.643737	-0.257918	0.426787	-0.584593	1.294070	-0.156201	-0.292041	-0.123911	-1.179165	0.478382	-0.398630	0.696020	-0.381878	-1.596151	-0.196930	0.577215	-0.499135
-0.165039	-1.567993	0.662215	1.291096	-0.872586	1.899773	-0.861689	-1.047400	-0.512733	0.861295	0.505538	2.115911	-1.975329	0.112016	-1.229919	-1.033944	-0.870566	-1.166432	1.153049	-0.560783	-0.025583	0.331392	-0.805321	-1.014197	-0.879084	-0.663492	-0.386843	-1.075144	-0.099477	0.838676	0.375206	0.271579	0.105997	0.316540	-0.471576	-0.054300	-0.752986	-0.009739	0.288365	0.224684	0.073159	1.235677	-1.867249	-0.033280	0.454705	-0.160824	0.801515	0.203790	-0.715965	-0.005640	0.603239	-0.126034	0.068239	0.616110	-1.940864	1.257614	0.319988	0.352121	0.429487	1.439832	0.484435	-0.644015	0.641785	-0.428128	-1.013623	-2.082434	2.782912	-1.242753	-1.743983	0.782687	0.682781	0.189398	0.543156	-0.219529	0.054948	-0.317056	2.238158	0.381171	0.489168	-1.136430	-0.298062	1.220803	2.044213	0.224590	1.472263	0.315423	0.432262	1.038384	0.690413	1.428010	-0.758686	-1.208989	0.279695	-1.649908	0.151347	-0.731164	0.609595	-0.304276	-0.189960	-0.169819	-1.370573	-1.073111	-0.494935	0.472438	0.402372	-0.345054	0.628571	-0.493656	0.428276	-1.107069	0.181039	-0.818550	-0.042684	0.036449	-1.324148	1.032068	-0.951239	0.322111	-0.152803	-1.281501	0.119684	-0.930736	1.093520	-0.648041	-2.414474	-0.091896	0.726907	-0.409949
-0.159328	-1.556117	0.646125	1.027932	-1.020774	1.932528	-0.602684	-0.762895	-0.645009	0.874365	0.462838	1.401019	-1.906387	-0.271498	-1.036193	-1.005609	-0.757389	-0.993349	1.208200	-0.519137	0.112465	0.297433	-0.712233	-1.054254	-0.598428	-0.778567	-0.308335	-1.027711	-0.061791	0.601288	-0.110774	0.301847	0.204296	-0.064016	-0.486718	-0.199639	-0.813202	-0.030744	0.469492	0.229041	0.051478	0.724535	-1.607321	-0.014933	0.169405	-0.751459	0.619649	0.267065	-0.829161	-0.069330	0.514719	0.156906	-0.059627	0.606624	-1.661336	0.947707	0.286431	0.183206	0.293413	1.142250	0.626803	-0.379488	0.674036	-0.769565	-0.834859	-1.832984	2.500763	-1.235830	-1.254185	0.704730	0.638029	0.164629	0.065515	0.197481	-0.295364	-0.172582	1.957893	0.294927	0.214657	-1.008600	-0.785212	0.951906	1.485634	-0.103216	1.360640	0.320761	0.420031	1.264210	0.507405	1.242778	-0.387616	-0.778165	0.297315	-1.678918	0.011712	-0.458172	0.651204	-0.482824	0.018548	-0.144415	-0.893838	-1.039298	-0.480255	0.236983	0.773008	-0.162683	0.694294	-0.477759	0.489475	-1.272288	0.150634	-0.669129	-0.040865	-0.073441	-0.769651	0.818560	-0.656290	0.334903	-0.225722	-1.518311	0.073692	-0.905208	0.995289	-0.429550	-2.307510	-0.209959	0.228534	-0.589096
-0.158951	-1.564966	0.693947	1.239029	-0.971513	1.866969	-0.770535	-0.868835	-0.555525	0.848496	0.478675	1.787271	-1.967198	-0.122087	-1.110446	-1.100067	-0.829755	-1.071805	1.364468	-0.570228	-0.026063	0.177151	-0.783037	-1.193840	-0.785062	-0.798927	-0.273061	-1.178345	-0.135076	0.731374	0.110515	0.307793	0.270994	0.048266	-0.434997	-0.113139	-0.832422	0.015819	0.502909	0.142749	0.246140	1.044157	-1.806625	-0.193684	0.356953	-0.539307	0.839786	0.295775	-0.985324	-0.117080	0.570883	0.082702	-0.051226	0.606698	-1.864796	1.274831	0.381301	0.199973	0.387727	1.323457	0.422717	-0.407129	0.797025	-0.776398	-1.037919	-1.763222	2.837887	-1.398342	-1.528496	0.700005	0.807753	0.186818	0.010372	0.098360	-0.339508	-0.177503	2.196918	0.308714	0.194592	-1.288572	-0.675407	1.201664	1.630740	-0.026420	1.617312	0.276345	0.395652	1.421856	0.407873	1.268725	-0.466419	-0.974623	0.301164	-1.870279	-0.076730	-0.566031	0.740729	-0.408103	0.066507	-0.045784	-1.047624	-1.205221	-0.546238	0.435083	0.813865	-0.083260	0.621432	-0.675247	0.342551	-1.522285	0.124529	-0.689815	-0.025557	-0.102650	-0.986722	0.945990	-0.909463	0.381612	-0.049802	-1.697147	0.105796	-1.011581	0.980348	-0.624355	-2.532375	-0.387366	0.304625	-0.721032
-0.040567	-1.231632	0.379290	0.825402	-0.782190	1.590018	-0.483650	-0.600615	-0.619893	0.689856	0.332358	1.242138	-1.715001	-0.182816	-0.859714	-0.829624	-0.620064	-0.902713	0.990815	-0.500739	0.062751	0.299919	-0.672184	-0.836512	-0.375462	-0.620152	0.019393	-0.893971	-0.008798	0.387518	0.046895	0.253737	0.207546	-0.116142	-0.306344	-0.386215	-0.670710	-0.116885	0.236821	0.339289	0.166335	0.734320	-1.340083	-0.061051	0.109983	-0.597470	0.367083	0.332094	-0.601360	-0.097754	0.313290	0.061375	0.000272	0.419302	-1.316912	0.675347	0.385871	0.217672	0.176277	1.104855	0.657431	-0.238015	0.608218	-0.700972	-0.684535	-1.592319	2.189364	-0.872764	-0.942855	0.404691	0.464862	0.141129	0.058868	-0.040163	-0.180145	-0.132914	1.774729	0.116220	0.082803	-0.762712	-0.613408	0.625925	1.399994	-0.229535	1.201238	0.124152	0.255263	1.055995	0.293146	0.997347	-0.229570	-0.674511	0.064100	-1.441468	0.100044	-0.502817	0.588553	-0.561547	0.112464	-0.084863	-0.909161	-1.049429	-0.406702	0.098932	0.611009	-0.328182	0.374318	-0.337145	0.428426	-1.022975	0.070034	-0.580089	-0.134157	0.116324	-0.598571	0.923386	-0.467559	0.175200	-0.260345	-1.375574	0.232402	-0.688475	0.887084	-0.368212	-1.987575	-0.182767	0.256357	-0.532209
-0.057284	2.447462	-1.611975	-2.760645	-1.143239	-0.593794	-1.343690	-0.324693	0.788642	-0.966148	-2.428440	-1.173161	-3.468373	-1.880249	-1.217143	1.018870	-0.811411	1.149125	-2.416482	-0.799925	-0.875861	-2.442765	-0.507676	2.219475	-0.519826	0.163635	3.741493	0.428430	0.169067	-0.148541	0.210388	0.518419	0.744471	-3.380597	2.763601	-3.355461	1.820977	-2.283667	-0.661324	-0.347853	1.191270	-2.849623	4.216926	-1.770891	-1.710997	-0.627835	-0.699070	2.821529	0.489540	0.466781	-1.655337	3.531720	-1.201051	-2.517914	5.797481	-1.627120	1.084135	-1.146475	-3.318209	-2.539879	0.445270	2.106566	-1.781357	0.000573	1.063124	1.689568	-3.068295	3.413297	0.874494	-1.519310	-1.266605	0.177443	-0.506557	0.033970	-0.085532	0.449547	-0.263506	-1.244781	-0.384932	4.046085	0.166833	-4.529484	-1.539807	-0.708159	-2.663938	-0.104798	-1.126458	-0.433615	-3.301642	-1.165929	1.297780	1.617580	1.637718	4.470232	1.475936	-1.542803	-0.264111	-1.525390	0.055413	2.120454	0.458837	2.018906	-1.724932	0.106732	2.183569	-0.383779	-1.950625	0.017638	-2.071303	0.791349	-1.664634	0.737400	2.288437	5.451421	2.814398	-0.919331	4.021142	0.842056	0.034045	-0.098113	3.135559	2.977514	-2.054768	0.340783	5.161663	1.081025	-0.265426	-0.981001
-0.155910	-1.702597	0.754058	0.953500	-1.105421	2.041380	-0.544868	-0.847399	-0.749293	1.008637	0.431829	1.498545	-1.752491	-0.337441	-0.975849	-1.101688	-0.811112	-1.048413	1.124066	-0.420032	0.185969	0.397572	-0.757307	-1.124684	-0.630580	-0.690530	-0.567678	-0.984443	-0.059323	0.558528	-0.128842	0.335924	0.128451	-0.127306	-0.655278	-0.051506	-0.877809	-0.114869	0.438920	0.250603	-0.040877	0.736020	-1.633116	0.164440	0.105361	-0.766787	0.562966	0.159650	-0.925255	0.016074	0.638195	0.172925	0.122847	0.634524	-1.673783	0.881165	0.226835	0.125835	0.349455	1.156552	0.690651	-0.473150	0.629021	-0.612426	-0.843127	-1.998370	2.505522	-1.301529	-1.250029	0.676562	0.643015	0.126568	0.113072	0.270986	-0.184852	-0.311423	1.858861	0.332439	0.249235	-0.997572	-0.789969	1.046622	1.559738	-0.121569	1.234001	0.454986	0.610427	1.269792	0.612807	1.366968	-0.503006	-0.690661	0.249635	-1.824502	0.080337	-0.439216	0.569192	-0.459111	-0.060230	-0.263073	-0.923585	-1.078974	-0.426974	0.132704	0.638377	-0.188638	0.796354	-0.548087	0.680907	-1.236058	0.264018	-0.782472	-0.174128	-0.224473	-0.911386	0.716384	-0.734213	0.382781	-0.384837	-1.462524	0.012438	-0.925874	1.181637	-0.492822	-2.377913	-0.126652	0.282793	-0.498981
0.144311	-1.570449	0.453534	0.505422	-1.568187	2.614915	-0.666157	-0.689754	-0.628211	0.966274	0.369794	1.511742	-2.231766	-0.431366	-1.080678	-0.851135	-1.044707	-1.136578	0.905111	-0.683175	0.303929	0.038545	-0.285444	-1.138470	-0.746738	-1.010876	-0.109654	-0.846487	0.326896	0.284312	-0.286708	0.437923	0.487440	-0.416399	-0.435206	-0.353728	-0.769586	0.046611	0.327263	0.466450	0.246757	0.350804	-1.084163	-0.049031	0.254376	-0.828864	0.342201	0.392416	-1.005871	0.470328	0.444046	0.832608	0.628423	0.601967	-0.924566	0.652175	0.632368	0.448771	-0.112763	1.090236	1.069246	-0.877770	0.467844	-1.139325	-0.746391	-1.987650	2.337917	-1.124921	-1.512970	0.832513	0.520504	0.272797	0.024599	0.213832	-0.207548	-0.322235	1.717613	0.463387	0.299993	-0.712101	-0.640476	0.499473	1.846908	-0.320929	0.986100	0.527617	0.115216	1.298586	0.187281	1.394478	-0.282292	-0.985994	0.214109	-1.579697	0.347549	-0.393459	0.627276	-0.676760	0.061949	-0.396266	-0.919808	-0.969194	-0.522455	-0.165571	1.002970	-0.504611	0.570656	-0.275500	0.219485	-1.220196	0.078713	-0.826536	0.113951	0.407698	-0.542655	0.712320	-0.552757	0.466205	-0.521402	-1.503980	0.323798	-1.094326	0.962401	-0.320200	-1.892912	0.102720	0.143938	-0.503805
