0.296418	0.051835	-0.428128	-0.771528	0.227488	0.146870	0.160680	-0.079417	0.240859	0.045917	-0.777060	0.284848	-0.976011	0.280147	0.066726	-0.329383
0.209846	-0.057579	-0.300362	-0.648981	-0.088420	0.144391	0.061684	-0.057173	-0.243990	0.207452	0.075693	0.303906	-0.828476	-0.318686	-0.098683	0.156163
0.003173	0.204841	-0.077626	-0.209595	-0.000125	-0.506171	-0.097720	-0.215054	0.396939	0.250090	-0.541684	0.787963	-0.520355	-0.166817	-0.246977	-0.284340
0.143661	0.618942	-0.237406	-0.568362	0.694540	0.385664	-0.140225	0.031932	-0.219578	-0.067166	0.297313	0.340928	-0.095871	0.347946	0.343252	-0.867782
0.302750	0.282249	-0.147208	-0.452764	0.198686	-0.363087	0.177436	-0.077790	0.315443	0.225689	-0.567073	-0.030440	-0.705548	0.204699	-0.268634	-0.200589
0.074528	0.150854	0.222044	-0.225377	0.433596	0.275084	-0.233557	-0.425824	-0.021425	-0.214642	-0.386273	0.369800	0.308411	0.235636	-0.151606	-0.441923
0.481556	0.367018	0.263684	-0.094950	-0.139602	-0.134397	0.102979	-0.751064	-0.375043	-0.363876	-0.337387	0.296501	-0.283203	-0.946394	-0.556682	-0.254849
0.053243	-0.213977	-0.109108	-0.331352	0.223996	0.071833	0.143461	-0.034198	-0.126544	-0.483849	-0.880676	0.690689	-0.015506	0.141244	-0.138937	-0.127128
-0.149214	-0.405813	-0.510473	-0.715788	0.492979	-0.015497	-0.166495	0.334234	0.345177	0.548463	-0.263570	0.648234	-0.237393	0.149821	0.312947	-0.236401
-0.292797	-0.437564	-0.315064	-0.967522	0.110341	0.020957	-0.160803	-0.188431	-0.431282	-0.221396	-0.686395	0.803675	-0.795066	-0.304156	-0.250557	-0.050260
0.263354	-0.091169	-1.131257	-0.392111	0.089422	-0.312159	-0.019561	-0.533543	0.618392	0.274189	-0.573147	0.568506	-0.345772	0.196094	-0.052372	-0.410915
0.025732	-0.390306	-0.884021	-0.680670	-0.501681	-0.251987	0.137480	-0.254242	0.364288	-0.232283	-0.308759	0.391592	-0.876951	-0.301376	-0.134441	0.005683
