0.002973	0.608937	-0.144756	0.376536	0.531837	-0.226563	0.239019	-0.191218	0.169626	0.044339	-0.316824	0.350665	-0.344824	-0.179939	0.449216	-0.222603	0.401570	-0.061642	-0.312398	-0.056907	-0.276323	-0.109939	-0.315959	-0.319679	0.069010	-0.081183	0.109105	0.024231	-0.134829	-0.040620	-0.067531	0.111880	0.171782	-0.315797	0.534003	-0.147825	-0.052342	-0.209853	-0.296093	-0.240601	0.091097	0.351353	0.088515	0.440350	0.179556	0.037244	0.041350	0.180157	0.307387	-0.406742	-0.262857	0.054209	-0.187760	0.391876	0.538388	0.120328	-0.403194	0.322016	-0.084188	-0.378158	-0.460373	-0.032651	0.518910	0.276464
-0.116482	-0.153593	-0.333749	-0.104343	0.531116	-0.177084	-0.264160	-0.369380	-0.088283	0.455313	-0.436530	0.128246	-0.428553	0.477367	0.480497	0.022778	-0.327594	-0.112697	-0.278136	-0.403988	0.401849	-0.480184	-0.088919	0.184411	-0.304190	0.438979	-0.248431	-0.207658	-0.276833	0.127465	0.447936	0.028806	0.092706	-0.510244	0.158869	0.477314	0.589666	0.014363	-0.144720	-0.131860	0.338016	0.336658	-0.635605	0.068122	-0.429996	0.293466	0.066386	-0.165272	-0.567561	0.101326	-0.434972	-0.105418	-0.095613	-0.329279	0.103235	-0.039566	-0.189803	-0.487485	0.279427	0.327280	-0.191287	0.275322	1.060734	-0.038219
0.077504	0.136781	-0.314664	-0.964536	0.155809	-0.124503	0.190569	-0.118781	-0.141696	0.551453	-0.424235	-0.147851	-0.202933	0.157217	-0.164041	0.401514	0.135732	0.215905	0.133605	0.221248	0.089347	-0.441003	0.185841	0.045573	-0.160069	0.220962	-0.139077	-0.473822	-0.195191	0.446694	0.029738	0.478695	0.290648	0.032020	-0.437664	0.152061	0.030974	-0.262528	0.800323	-0.481810	-0.096667	-0.634090	-0.436077	0.534892	0.114267	0.411811	-0.365236	-0.303952	-0.119925	0.183166	-0.205084	0.056934	-0.042240	-0.111461	-0.133921	0.202952	0.100274	0.240882	0.154935	0.601280	0.219870	0.272198	0.362891	-0.423789
-0.677729	-0.214590	0.120462	0.662381	0.161066	0.037569	-0.247484	-0.177808	0.531584	-0.068661	0.090196	-0.312696	-0.096926	-0.622056	0.153361	-0.818031	0.018452	0.152087	-0.017870	0.074406	-0.177315	-0.272888	0.266870	-0.195756	0.245558	0.127574	-0.444467	0.449869	-0.577053	-0.633101	0.321153	0.097060	0.029664	-0.296226	-0.049188	0.220753	0.251794	0.312887	-0.896380	0.297287	0.165455	0.195480	-0.232134	-0.095554	-0.204841	-0.145027	0.034177	0.855711	0.060369	0.279013	-0.303477	-0.247383	0.150436	-0.055443	-0.142553	-0.557996	-0.148366	-0.472850	0.708341	0.140937	-0.710203	-0.546660	0.073136	0.100214
-0.661962	0.461915	-0.299111	0.238166	0.702757	-0.445495	0.154071	-0.452365	0.378109	0.188557	-0.650175	-0.485999	0.206764	0.018705	0.195377	-0.328530	0.301942	0.049644	-0.081376	0.365898	-0.096629	-0.503038	-0.006841	-0.292149	0.127088	0.268946	-0.140130	-0.145182	0.140081	0.074676	0.069672	0.011966	0.311249	-0.276499	0.277933	-0.277660	0.034592	-0.296435	0.271845	-0.137836	-0.417846	-0.145973	0.029066	0.136151	-0.473755	0.251758	0.040804	0.189238	0.802275	-0.283446	-0.429678	-0.108763	0.468619	0.151941	0.198867	-0.063543	-0.531101	0.462708	0.616879	-0.421785	-0.629116	-0.280858	0.416376	0.514290
-0.174958	-0.002135	-0.469346	-0.043415	-0.066038	-0.255185	-0.285844	-0.016707	-0.123124	-0.010675	-0.433216	0.286858	-0.009823	0.810614	0.325802	-0.022413	-0.322908	-0.498598	-0.440621	-0.477166	0.547253	-0.075580	-0.174694	0.304496	0.048297	0.237464	-0.242083	-0.048181	-0.392407	-0.130424	0.262738	-0.420165	0.027344	-0.367110	0.664876	0.443737	0.464590	-0.238369	-0.315213	0.009193	-0.091016	0.209513	-0.574927	-0.135635	0.196023	-0.409924	0.475482	-0.158661	-0.297074	-0.109833	-0.701122	-0.024344	-0.432856	-0.444284	-0.011208	-0.032140	0.007956	-0.579878	0.315406	0.151735	-0.516219	0.316763	1.204749	0.154357
-0.377460	-0.431620	-0.365822	0.329475	0.273744	0.082548	-0.023462	-0.257793	0.434148	0.165477	0.037139	-0.116810	0.485133	0.083597	-0.161713	-0.607052	0.093109	0.208868	0.091768	0.158146	0.153448	-0.191815	-0.017848	-0.047524	0.027115	0.306871	0.030856	0.241653	0.049791	-0.182882	0.215857	0.133515	0.208298	-0.095617	0.076757	0.056504	0.121317	-0.046519	0.095284	0.249326	0.054908	-0.309927	0.046948	0.028579	0.060743	-0.192259	-0.196927	0.240306	0.428764	0.105630	0.213169	-0.070271	0.189252	-0.069416	0.113349	-0.180706	-0.207487	-0.061729	0.331338	-0.077130	-0.125669	-0.318072	-0.306629	0.622960
-0.165862	-0.297225	0.006631	0.042443	0.144018	-0.373907	-0.052127	-0.410728	0.430050	-0.088808	0.231703	0.341179	-0.118523	-0.611023	0.391196	-0.630083	-0.263924	-0.073562	0.239696	0.406423	-0.071123	-0.331777	0.018804	0.136373	0.141932	-0.128319	-0.440265	0.068866	-0.808025	-0.379210	0.277422	0.220179	-0.264616	-0.417703	-0.353681	0.378917	0.363531	0.234811	-1.080874	0.211008	0.561698	0.454500	-0.171737	0.421340	-0.061352	-0.360720	0.351528	0.710377	-0.435674	-0.056046	-0.394164	-0.103636	0.186247	0.082488	0.009217	-0.693766	0.007031	-0.482807	0.681477	-0.066604	-0.373000	-0.529111	0.337702	-0.217647
0.156087	0.353085	0.790141	0.654162	-0.044488	-0.534150	0.374154	0.091837	0.327967	0.096807	0.177074	0.325896	-0.189025	-0.474929	-0.034454	0.162454	0.172097	0.153710	-0.424360	-0.057329	-0.344886	-0.043040	0.033197	0.272586	-0.143150	-0.185481	0.465536	0.127121	0.562342	-0.166919	-0.204921	0.347958	0.416714	-0.282593	-0.284731	0.050932	-0.030008	0.101213	-0.441716	0.020401	0.448502	0.307602	0.215008	0.071179	0.358765	0.495522	0.437745	0.470365	-0.332147	-0.480762	0.601960	0.665726	0.139930	0.575491	0.353964	0.028324	-0.001055	0.276596	-0.634341	-0.328677	0.573327	-0.139973	-0.372231	0.194934
0.037501	0.074359	-0.213327	0.038241	-0.063232	0.191833	-0.002136	0.120664	0.258838	-0.040055	0.044526	0.010696	0.341021	-0.286209	-0.043169	-0.120580	0.127871	-0.123369	-0.182908	0.049953	0.308983	0.017758	0.074273	-0.020951	-0.268575	0.035227	-0.113257	0.217238	0.087447	-0.072626	-0.076980	0.446964	0.322314	-0.264015	-0.138108	-0.163654	-0.245635	-0.053341	0.633262	-0.157026	-0.194002	-0.355928	-0.043343	0.014155	0.608933	0.759626	-0.118495	-0.145232	0.099707	-0.220489	0.303998	-0.062681	0.165640	0.218254	0.078878	0.205638	-0.234827	0.052495	-0.052404	0.155110	0.480610	0.361931	-0.409880	-0.143658
-0.412340	0.171069	-0.341611	-0.623363	0.674876	-0.622206	-0.047241	0.012354	0.273066	0.496108	-0.245290	-0.439638	-0.021366	-0.080708	0.041644	0.075480	-0.087474	-0.165633	-0.016141	0.286620	-0.144945	-0.451956	-0.073617	-0.528434	-0.000020	0.151789	-0.374499	0.066682	-0.220379	0.022382	0.149167	0.114264	0.043984	-0.160721	-0.888105	-0.601557	0.171643	0.106099	0.608470	0.110925	-0.071551	-0.209409	-0.038637	0.338715	-0.455332	0.612404	-0.075459	0.052385	0.159749	0.492708	-0.372269	0.221048	0.253408	0.183621	-0.557303	-0.284102	-0.019480	0.230648	0.313261	-0.024947	-0.331277	-0.146678	0.195743	-0.109898
-0.260864	0.214151	0.609087	0.456053	-0.160684	-0.218432	0.006348	-0.290968	0.097351	0.266457	-0.210006	-0.493004	-0.067041	0.457401	0.011285	-0.101449	-0.154618	0.059896	0.008707	-0.234858	-0.063178	-0.083368	-0.102392	0.437066	0.005666	0.055113	-0.364970	-0.123539	0.170386	-0.113239	0.069247	-0.141587	0.139028	-0.090884	0.465779	0.363616	0.054028	0.274396	-0.499153	-0.362173	0.012468	0.237560	-0.372520	0.285395	-0.110284	-0.573432	-0.194177	0.392438	0.429755	0.015423	-0.193999	0.237868	-0.082270	-0.546966	0.070479	-0.166184	-0.221402	-0.139254	0.185834	-0.075899	-0.612235	-0.343137	0.407235	0.196191
-0.231852	0.071624	0.618056	0.653067	-0.170436	-0.296624	0.043093	0.071910	-0.008177	-0.027785	0.580074	0.417660	-0.007724	-0.097989	-0.147196	-0.229007	-0.340608	0.200747	-0.093248	0.156091	-0.660565	0.277764	0.110971	-0.079228	-0.085455	-0.092722	0.164201	0.327600	-0.051437	-0.438131	0.012791	-0.216202	0.094135	0.024940	-0.164378	0.021012	0.447014	0.599292	-0.728285	0.264460	0.424005	0.191227	0.077943	-0.060781	0.102322	-0.243342	-0.014702	0.553690	-0.295573	0.008216	0.132612	0.543429	-0.086023	0.058491	0.171954	-0.253251	0.125988	-0.306198	-0.469509	-0.063462	0.035710	-0.244638	-0.618484	0.254666
0.484019	0.092885	0.329668	-0.428127	0.269546	-0.679909	-0.007549	0.214644	-0.057506	0.331888	-0.152701	0.501193	-0.285628	0.200847	-0.098526	0.564193	-0.193163	-0.035338	-0.132876	-0.194055	-0.390228	0.071898	-0.033352	-0.088277	-0.408313	-0.037442	0.053908	0.129128	-0.280721	0.146577	-0.138844	0.168718	0.008439	-0.186916	-0.483793	-0.220226	0.155589	-0.342934	0.037498	-0.125873	0.386850	0.282234	0.072459	0.098688	-0.094308	0.289926	0.302850	-0.264293	-0.531764	-0.107125	-0.073859	0.493624	-0.027477	0.105125	0.010986	0.087683	0.451766	-0.063895	-0.626903	0.005428	0.398600	-0.025691	0.288820	-0.333914
0.060422	0.245465	0.608292	-0.055790	0.337755	-0.349728	0.116468	-0.088672	-0.125413	0.124319	0.744933	0.133779	-0.135630	-0.394323	-0.127221	0.017492	0.120574	0.063925	0.085691	0.321449	-0.881636	0.494624	0.295204	-0.150382	-0.008561	-0.054347	-0.401059	0.245195	-0.033877	-0.384388	-0.120393	-0.223920	0.068327	0.117472	-0.004422	-0.254768	-0.277729	0.476013	0.234016	0.225369	0.253367	-0.321511	0.030261	0.054454	0.245986	0.155867	-0.400017	0.354984	-0.050941	0.238066	0.780196	-0.027831	0.064914	0.313793	0.449361	-0.139748	0.333605	-0.008118	-0.613389	0.587864	0.318171	0.200300	-1.145818	0.013684
-0.169701	-0.382790	-0.228600	0.002643	0.118389	0.221770	-0.136424	-0.011742	0.392511	-0.079963	-0.019978	-0.344692	-0.155005	-0.350532	0.343266	-0.217398	-0.035985	0.088677	-0.243504	0.157063	-0.175773	-0.070087	0.287848	-0.268206	0.197243	0.071012	-0.275205	0.267124	-0.314409	-0.508566	0.159261	-0.239760	-0.080448	-0.271753	0.152584	0.254431	0.214625	0.098594	-0.590571	0.379100	0.029558	-0.042608	-0.094535	0.004627	-0.418760	-0.225171	0.450855	0.321541	0.126180	0.198789	-0.121641	-0.186581	0.030003	-0.151730	-0.114065	-0.307312	0.204234	-0.230816	0.641451	0.156151	-0.648056	-0.271800	0.112625	-0.089181
-0.066693	-0.034027	-1.014638	-0.417949	0.602489	-0.012194	-0.060224	-0.333621	-0.375698	0.331636	-0.425008	0.511217	0.148336	0.173100	0.428780	0.006331	-0.025350	-0.000973	-0.164900	0.048779	-0.131423	-0.218477	-0.307540	-0.141118	0.005252	-0.007337	-0.018678	-0.268707	-0.114064	-0.038355	-0.132499	-0.249698	0.154242	-0.238566	0.351769	-0.053383	0.085859	-0.206807	0.364089	-0.088289	-0.416264	-0.263455	-0.109995	0.335340	-0.381507	-0.005246	-0.221118	-0.443518	0.720090	0.057018	-0.332328	-0.251871	0.036603	0.318830	-0.123218	-0.204150	0.156808	-0.070826	0.325069	-0.326545	-0.221197	-0.388885	0.248408	0.389633
